iter	TotalF1	MultiClass
524	1	0.0690856911
525	1	0.06894712091
526	1	0.06877693762
527	1	0.06863411465
528	1	0.06851344836
529	1	0.0683658193
530	1	0.06825760155
531	1	0.06812450062
532	1	0.06799899767
533	1	0.06783982498
534	1	0.06769008025
535	1	0.06756798955
536	1	0.06743414952
537	1	0.06727331959
538	1	0.06714807469
539	1	0.0670375588
540	1	0.06691326789
541	1	0.06678343124
542	1	0.06665702319
543	1	0.06652170233
544	1	0.0664355961
545	1	0.06630844061
546	1	0.06620494917
547	1	0.06609413929
548	1	0.06598110053
549	1	0.06584357289
550	1	0.0657063761
551	1	0.06558231268
552	1	0.06545053819
553	1	0.06532182741
554	1	0.06518451436
555	1	0.06506435758
556	1	0.06492923303
557	1	0.06478964426
558	1	0.06464566522
559	1	0.0644913263
560	1	0.06436973193
561	1	0.06421780334
562	1	0.06408944623
563	1	0.06397489173
564	1	0.06384926673
565	1	0.06371791355
566	1	0.06359584948
567	1	0.06346882131
568	1	0.06333951484
569	1	0.06324181346
570	1	0.06313069634
571	1	0.06298564382
572	1	0.06288728674
573	1	0.06276042663
574	1	0.06264821077
575	1	0.06250856075
576	1	0.06238715419
577	1	0.06226213684
578	1	0.06213453281
579	1	0.06200080569
580	1	0.06186724481
581	1	0.06172801068
582	1	0.06162508257
583	1	0.06149322689
584	1	0.06138011578
585	1	0.06127460205
586	1	0.06114728356
587	1	0.06105691121
588	1	0.06092478156
589	1	0.06082327294
590	1	0.06068351233
591	1	0.06056607244
592	1	0.06046204565
593	1	0.06036186966
594	1	0.06024065933
595	1	0.06014427092
596	1	0.06002068588
597	1	0.05989942385
598	1	0.05979549188
599	1	0.05969393641
600	1	0.05956929878
601	1	0.05948433884
602	1	0.05936969526
603	1	0.05927059478
604	1	0.05915686622
605	1	0.05906096085
606	1	0.05893522526
607	1	0.05881465058
608	1	0.05872631513
609	1	0.05860033735
610	1	0.05847856598
611	1	0.05836857713
612	1	0.05825421227
613	1	0.0581470709
614	1	0.0580416942
